NOK_per_kWh,time_start,consumption,consumption_cost,consumption_with_battery,consumption_cost_with_battery
1.32741,2022-01-01T00:00:00+01:00,4.951856952,6.57314443665432,4.48753464,5.956798356482399
1.29155,2022-01-01T01:00:00+01:00,3.961485576,5.1164566956828,4.48753464,5.795875364292
1.31932,2022-01-01T02:00:00+01:00,4.060522728,5.35712884550496,4.48753464,5.9204942012448
1.11315,2022-01-01T03:00:00+01:00,4.159559808,4.630214000275201,4.48753464,4.995299184516
1.1222400000000001,2022-01-01T04:00:00+01:00,4.25859696,4.779167852390401,4.48753464,5.0360908743936
1.13772,2022-01-01T05:00:00+01:00,1.980742752,2.25353064380544,4.48753464,5.1055579106208
1.22113,2022-01-01T06:00:00+01:00,1.683631368,2.05593277240584,0.0,0.0
1.1844700000000001,2022-01-01T07:00:00+01:00,1.7826685199999999,2.1115173818844,0.0,0.0
1.18337,2022-01-01T08:00:00+01:00,2.37689136,2.8127419286832,0.0,0.0
1.17728,2022-01-01T09:00:00+01:00,4.951856952,5.829722152450561,0.0,0.0
1.19896,2022-01-01T10:00:00+01:00,4.159559808,4.98714582739968,0.698060952,0.83694715900992
1.16939,2022-01-01T11:00:00+01:00,2.674002744,3.12695206880616,4.48753464,5.247678132669599
1.17039,2022-01-01T12:00:00+01:00,1.7826685199999999,2.0864174091228,4.48753464,5.2521656673096
1.19946,2022-01-01T13:00:00+01:00,2.277854208,2.73219500832768,4.48753464,5.3826182992944
1.24401,2022-01-01T14:00:00+01:00,2.277854208,2.83367341329408,4.48753464,5.5825379675064
1.2475,2022-01-01T15:00:00+01:00,2.47592844,3.0887207289000003,4.48753464,5.5981994634
1.35438,2022-01-01T16:00:00+01:00,1.4855570640000002,2.0120087763403203,2.991689784,4.05188480965392
1.49802,2022-01-01T17:00:00+01:00,2.7730398960000002,4.15406922500592,2.991689784,4.48161113022768
1.50541,2022-01-01T18:00:00+01:00,4.951856952,7.4545749741103196,1.994459832,3.00247977569112
1.43649,2022-01-01T19:00:00+01:00,2.37689136,3.4143806697264,0.9972299520000001,1.43251085374848
1.40203,2022-01-01T20:00:00+01:00,2.47592844,3.4713259507332004,0.9972299520000001,1.3981463096025601
1.39693,2022-01-01T21:00:00+01:00,2.674002744,3.73539465317592,3.988919664,5.57224154623152
1.34929,2022-01-01T22:00:00+01:00,2.47592844,3.3407454848076004,3.988919664,5.38220941343856
1.23282,2022-01-01T23:00:00+01:00,2.9711142,3.662849008044,4.48753464,5.5323224548848
1.13433,2022-01-02T00:00:00+01:00,4.951856952,5.617039896362161,4.48753464,5.0903451681912
1.11535,2022-01-02T01:00:00+01:00,3.961485576,4.4184429371916,4.48753464,5.005171760724
1.06411,2022-01-02T02:00:00+01:00,4.060522728,4.320842840092079,4.48753464,4.7752304857703995
1.04383,2022-01-02T03:00:00+01:00,4.159559808,4.34187331438464,4.48753464,4.6842232832712
1.03943,2022-01-02T04:00:00+01:00,4.25859696,4.4265134381328,4.48753464,4.6644781308552
1.05741,2022-01-02T05:00:00+01:00,1.980742752,2.09445719339232,4.48753464,4.745164003682399
1.11845,2022-01-02T06:00:00+01:00,1.683631368,1.8830575035395998,0.0,0.0
1.05102,2022-01-02T07:00:00+01:00,1.7826685199999999,1.8736202678904,0.0,0.0
1.11405,2022-01-02T08:00:00+01:00,2.37689136,2.647975819608,0.0,0.0
1.1568,2022-01-02T09:00:00+01:00,4.951856952,5.7283081220736,0.0,0.0
1.21803,2022-01-02T10:00:00+01:00,4.159559808,5.06646863293824,0.698060952,0.8502591813645599
1.21164,2022-01-02T11:00:00+01:00,2.674002744,3.23992868474016,4.48753464,5.4372764712096
1.12304,2022-01-02T12:00:00+01:00,1.7826685199999999,2.0020080547008,4.48753464,5.0396809021056
1.11265,2022-01-02T13:00:00+01:00,2.277854208,2.5344544845312,4.48753464,4.9930554171959995
1.11355,2022-01-02T14:00:00+01:00,2.277854208,2.5365045533184,4.48753464,4.997094198372
1.18058,2022-01-02T15:00:00+01:00,2.47592844,2.9230315976952,4.48753464,5.297893645291199
1.22163,2022-01-02T16:00:00+01:00,1.4855570640000002,1.8148010760943203,2.991689784,3.65473799082792
1.29645,2022-01-02T17:00:00+01:00,2.7730398960000002,3.5951075731692006,2.991689784,3.8785762204668006
1.35818,2022-01-02T18:00:00+01:00,4.951856952,6.72551307506736,1.994459832,2.70883545462576
1.28186,2022-01-02T19:00:00+01:00,2.37689136,3.0468419587296003,0.9972299520000001,1.27830918627072
1.1619,2022-01-02T20:00:00+01:00,2.47592844,2.876781254436,0.9972299520000001,1.1586814812288
1.10077,2022-01-02T21:00:00+01:00,2.674002744,2.94346200051288,3.988919664,4.39088309854128
1.04693,2022-01-02T22:00:00+01:00,2.47592844,2.5921237616892,3.988919664,4.1761196638315194
1.10037,2022-01-02T23:00:00+01:00,2.9711142,3.2693249322540003,4.48753464,4.9379484918168
1.25006,2022-01-03T00:00:00+01:00,4.951856952,6.19011830141712,4.48753464,5.609687552078399
1.23426,2022-01-03T01:00:00+01:00,3.961485576,4.8895031870337595,4.48753464,5.538784504766399
