NOK_per_kWh,time_start
1.32741,2022-01-01T00:00:00+01:00
1.29155,2022-01-01T01:00:00+01:00
1.31932,2022-01-01T02:00:00+01:00
1.11315,2022-01-01T03:00:00+01:00
1.1222400000000001,2022-01-01T04:00:00+01:00
1.13772,2022-01-01T05:00:00+01:00
1.22113,2022-01-01T06:00:00+01:00
1.1844700000000001,2022-01-01T07:00:00+01:00
1.18337,2022-01-01T08:00:00+01:00
1.17728,2022-01-01T09:00:00+01:00
1.19896,2022-01-01T10:00:00+01:00
1.16939,2022-01-01T11:00:00+01:00
1.17039,2022-01-01T12:00:00+01:00
1.19946,2022-01-01T13:00:00+01:00
1.24401,2022-01-01T14:00:00+01:00
1.2475,2022-01-01T15:00:00+01:00
1.35438,2022-01-01T16:00:00+01:00
1.49802,2022-01-01T17:00:00+01:00
1.50541,2022-01-01T18:00:00+01:00
1.43649,2022-01-01T19:00:00+01:00
1.40203,2022-01-01T20:00:00+01:00
1.39693,2022-01-01T21:00:00+01:00
1.34929,2022-01-01T22:00:00+01:00
1.23282,2022-01-01T23:00:00+01:00
1.13433,2022-01-02T00:00:00+01:00
1.11535,2022-01-02T01:00:00+01:00
1.06411,2022-01-02T02:00:00+01:00
1.04383,2022-01-02T03:00:00+01:00
1.03943,2022-01-02T04:00:00+01:00
1.05741,2022-01-02T05:00:00+01:00
1.11845,2022-01-02T06:00:00+01:00
1.05102,2022-01-02T07:00:00+01:00
1.11405,2022-01-02T08:00:00+01:00
1.1568,2022-01-02T09:00:00+01:00
1.21803,2022-01-02T10:00:00+01:00
1.21164,2022-01-02T11:00:00+01:00
1.12304,2022-01-02T12:00:00+01:00
1.11265,2022-01-02T13:00:00+01:00
1.11355,2022-01-02T14:00:00+01:00
1.18058,2022-01-02T15:00:00+01:00
1.22163,2022-01-02T16:00:00+01:00
1.29645,2022-01-02T17:00:00+01:00
1.35818,2022-01-02T18:00:00+01:00
1.28186,2022-01-02T19:00:00+01:00
1.1619,2022-01-02T20:00:00+01:00
1.10077,2022-01-02T21:00:00+01:00
1.04693,2022-01-02T22:00:00+01:00
1.10037,2022-01-02T23:00:00+01:00
1.25006,2022-01-03T00:00:00+01:00
1.23426,2022-01-03T01:00:00+01:00
1.22746,2022-01-03T02:00:00+01:00
1.21566,2022-01-03T03:00:00+01:00
1.22226,2022-01-03T04:00:00+01:00
1.23586,2022-01-03T05:00:00+01:00
1.20696,2022-01-03T06:00:00+01:00
1.2101600000000001,2022-01-03T07:00:00+01:00
